,单词,后缀,单词释义
1272,periodic,"ic 表形容词, ....的 ，有时作tic","adj.周期的,定期的"
1273,periodical,al 表形容词， ...的,"adj.周期的,定期的;n.期刊,杂志"
1274,permanent,ent 表形容词， ...的,"adj.永久的,持久的"
1275,permeate,ate 表动词， 做，造成,"vt.弥漫,渗透,透过,充满;vi.透入"
1276,permission,ion 表名词， 动作或状态 分为 sion和tion两种,"n.许可,允许"
1277,perpetual,al 表名词， 人，物，状态,adj.永久的
1278,persist,ist 表名词， 表示信仰者，专家或从事人,"vi.坚持,持续"
1279,persistent,ent 表形容词， ...的,adj.持久稳固的
1280,personality,ty 表名词，用在形容词后，把形容词变成名词,"n.个性,人格,人物,名人,(用复数)诽谤、人身攻击"
1281,perspective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.透视画法,透视图,远景,前途,观点,看法,观点,观察"
1282,persuasion,on 表名词，指人、物和一些物理学上的名词,"n.说服,说服力"
1283,pessimistic,"ic 表形容词, ....的 ，有时作tic","adj.悲观的,厌世的"
1284,petition,ition 表名词， 行为过程，状态,"n.请愿,情愿书,诉状,陈情书;v.请求,恳求,请愿"
1285,petty,ty 表名词，用在形容词后，把形容词变成名词,"adj.小的,不重要的,小规模的,小型的,细微的,小器的,卑鄙的"
1286,phenomenon,on 表名词，指人、物和一些物理学上的名词,n.现象
1287,philosopher,er 表动词， 反复做,"n.哲学家,哲人"
1288,philosophy,y 表名词，加在形容词或以r结尾的单词后。,"n.哲学,哲学体系,达观,冷静"
1289,physician,ian 表名词， 某种人,"n.医师,内科医师"
1290,physicist,ist 表名词， 表示信仰者，专家或从事人,"n.物理学者,唯物论者"
1291,physiological,al 表名词， 人，物，状态,"adj.生理学的,生理学上的"
1292,pigeon,on 表名词，指人、物和一些物理学上的名词,n.鸽子
1293,pillar,ar 表形容词， ...的,"n.[建]柱子,栋梁,重要的支持者"
1294,pilot,ot 表名词， ...人,"n.飞行员,领航员,引水员;vt.驾驶(飞机等),领航,引水;v.驾驶"
1295,pine,ine 表形容词， ...的,"n.松树,树木;v.消瘦,憔悴,渴望,渴慕"
1296,pirate,ate 表形容词， 具有...的,"n.海盗,盗印者,盗版者,侵犯专利权者;vt.盗印,盗版,掠夺,翻印;vi.做海盗"
1297,pit,it 表名词，通常是抽象名词,"n.深坑,深渊,陷阱,(物体或人体表面)凹陷,(英国剧场的)正厅后排,正厅后排观众;vt.窖藏,使凹下,去...之核,使留疤痕,使竞争;vi.起凹点,凹陷"
1298,planet,et 表示 小,n.[天]行星
1299,plaster,aster 表名词， 不怎么样的人,"n.石膏,灰泥,膏药,橡皮膏;vt.涂以灰泥,敷以膏药,减轻,粘贴,重创"
1300,plastic,tic 表形容词，通常放在一个名词前， 与...相关的，...的,"n.塑胶,可塑体,塑料制品,整形;adj.塑胶的,塑造的,有可塑性的,造形的,(外科)整形的"
1301,platform,form 表形容词， 有...形状的,"n.(车站)月台,讲台,讲坛;平台"
1302,plausible,ible 形容词 能...的,adj.似是而非的
1303,plentiful,"ful 表形容词, 有...的","adj.许多的,大量的,丰富的,丰饶的"
1304,plot,ot 表名词， ...人,"n.小块土地,地区图,图,秘密计划(特指阴谋),(小说的)情节.结构;vt.划分,绘图,密谋;vi.密谋,策划"
1305,plural,al 表名词， 人，物，状态,adj.复数的
1306,poet,et 表示 小,n.诗人
1307,poetry,y 表名词，加在形容词或以r结尾的单词后。,"n.诗,作诗法,诗意,诗情"
1308,poisonous,ous 表形容词，通常放在一个完整的单词后，表示 ...的,adj.有毒的
1309,polar,ar 表形容词， ...的,"adj.[天]两极的,极地的,南辕北辙的,南极的,(北极星似的)指引的,极性的,北极的;n.极线,极面"
1310,policy,"cy 表名词，也作acy, 性质，状态","n.政策,方针"
1311,politician,ian 表名词， 某种人,"n.政治家,政客"
1312,politics,ics 表名词， 学科，学术,"n.政治,政治学,政纲,政见"
1313,pollution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.污染,玷污"
1314,ponder,er 表动词， 反复做,"v.沉思,考虑"
1315,portable,able 表形容词， 可...的，能...,"adj.轻便的,手提(式)的,便携式的"
1316,porter,er 表动词， 反复做,"n.守门人,门房,行李搬运工"
1317,portrait,it 表名词，通常是抽象名词,"n.肖像,人像"
1318,portray,y 表名词，加在形容词或以r结尾的单词后。,v.描绘
1319,positive,itive 表形容词， ...的,"adj.肯定的,实际的,积极的,绝对的,确实的;adj.[数]正的;adj.[电]阳的;adj.[语法]原级的"
1320,possess,ess 表名词， 女性，雌性,"vt.占有,拥有,持有,摆布,支配"
1321,possession,on 表名词，指人、物和一些物理学上的名词,"n.拥有,占有,所有,着迷,领土,领地,财产(常用复数),自制"
1322,possibility,ty 表名词，用在形容词后，把形容词变成名词,"n.可能性,可能发生的事物"
1323,posture,ture ture在s结尾的词根后变成sure,"n.(身体的)姿势,体态,状态,情况,心境,态度;v.令取某种姿势,摆姿势,作出姿态"
1324,potential,ial 表形容词， 有...的,"adj.潜在的,可能的,势的,位的;n.潜能,潜力,电压"
1325,poverty,ty 表名词，用在形容词后，把形容词变成名词,"n.贫穷,贫困,贫乏,缺少"
1326,powerful,"ful 表形容词, 有...的","adj.强大的,有力的"
1327,practically,ally 表副词，由al+ly 构成， ...地,"adv.实际上,事实上,在实践上;adv.几乎,简直"
1328,pray,y 表名词，加在形容词或以r结尾的单词后。,"v.祈祷,恳求,请"
1329,precaution,ion 表名词， 动作或状态 分为 sion和tion两种,"n.预防,警惕,防范"
1330,precedent,ent 表形容词， ...的,n.先例
1331,precious,"ious 表形容词, ....的","adj.宝贵的,贵重的,珍爱的,过于精致的,珍爱的"
1332,precise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"adj.精确的,准确的;n.精确"
1333,precision,on 表名词，指人、物和一些物理学上的名词,"n.精确,精密度,精度"
1334,predecessor,or 表名词， 人或物器 ，在一些词根前写成 ator,"n.前辈,前任,(被取代的)原有事物"
1335,predominant,ant 表形容词， ...的,"adj.卓越的,支配的,主要的,突出的,有影响的"
1336,preferable,able 表形容词， 可...的，能...,"adj.更可取的,更好的,更优越的"
1337,pregnant,ant 表形容词， ...的,"adj.怀孕的,重要的,富有意义的,孕育的"
1338,preliminary,ary 表名词， 人，场所，物,"adj.预备的,初步的"
1339,premier,ier 表名词， 人或物,"adj.第一的,首要的;n.总理"
1340,premise,ise 表动词后缀，和 ize 相同，是 ize 的变体， ...化,"n.[逻][法]前提,(企业,机构等使用的)房屋连地基;vt.提论,预述,假定;vi.作出前提"
1341,preparation,ation 表名词， 行为，过程，结果,"n.准备,预备"
1342,preposition,ition 表名词， 行为过程，状态,n.前置词
1343,prescription,ion 表名词， 动作或状态 分为 sion和tion两种,"n.指示,规定,命令,处方,药方"
1344,presentation,ation 表名词， 行为，过程，结果,"n.介绍,陈述,赠送,表达"
1345,presently,ly 表形容词，通常加在名词后。,"adv.目前,不久"
1346,presumably,ably 表副词， 能...地,"adv.推测起来,大概"
1347,prevalent,ent 表形容词， ...的,"adj.普遍的,流行的"
1348,previous,"ious 表形容词, ....的","n.事先查看,[计]预览;vt.事先查看,预展,预演"
1349,prey,y 表名词，加在形容词或以r结尾的单词后。,"n.被掠食者,牺牲者,掠食;vi.捕食,掠夺,折磨"
1350,primarily,ly 表形容词，通常加在名词后。,"adv.首先,起初,主要地,根本上"
1351,primary,y 表名词，加在形容词或以r结尾的单词后。,"adj.第一位的,主要的,初步的,初级的,原来的,根源的"
1352,primitive,itive 表形容词， ...的,"adj.原始的,远古的,粗糙的,简单的"
1353,principal,al 表名词， 人，物，状态,"n.负责人,首长,校长,主犯,本金;adj.主要的,首要的"
1354,prior,ior 表形容词， 较...的,"adj.优先的,在前的;n.预先;adv.在"
1355,priority,ity 表名词，指具备某种性质,"n.先,前,优先,优先权"
1356,privacy,"cy 表名词，也作acy, 性质，状态","n.独处而不受干扰,秘密"
1357,probability,ability 表名词， 能...；性质,"n.可能性,或然性,概率"
1358,probable,able 表形容词， 可...的，能...,"adj.很可能的,大概的"
1359,proceeding,ing 表形容词， 正...的 ， 令人...的,"n.行动,进行,会议录,学报"
1360,process,ess 表名词， 女性，雌性,"n.过程,作用,方法,程序,步骤,进行,推移;vt.加工,处理"
1361,procession,on 表名词，指人、物和一些物理学上的名词,"n.行列,队伍"
1362,productive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.生产性的,生产的,能产的,多产的"
1363,productivity,ty 表名词，用在形容词后，把形容词变成名词,n.生产力
1364,profession,ion 表名词， 动作或状态 分为 sion和tion两种,"n.职业,专业,表白,宣布"
1365,professional,al 表名词， 人，物，状态,"n.自由职业者,专业人员,职业运动员,职业艺人;adj.专业的,职业的"
1366,proficiency,"cy 表名词，也作acy, 性质，状态","n.熟练,精通,熟练程度"
1367,profit,it 表名词，通常是抽象名词,"n.利润,益处,得益;vi.得益,利用;vt.有益于,有利于"
1368,progressive,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","n.改革论者,进步论者;adj.前进的,(税收)累进的,进步的"
1369,prohibit,it 表名词，通常是抽象名词,"vt.禁止,阻止"
1370,prominent,ent 表形容词， ...的,"adj.卓越的,显著的,突出的"
1371,proof,proof 表形容词， 防...的,"n.证据,试验,考验,[印刷]校样;adj.不能透入的,证明用的,防...的,有耐力的;vt.检验,校对,使不被穿透"
1372,propagate,ate 表形容词， 具有...的,"v.繁殖,传播,宣传"
1373,propel,el 表名词， 人或物,"vt.推进,驱使"
1374,property,ty 表名词，用在形容词后，把形容词变成名词,"n.财产,所有物,所有权,性质,特性,(小)道具"
1375,prophet,et 表示 小,"n.先知,预言者,提倡者"
1376,proportional,al 表名词， 人，物，状态,"adj.比例的,成比例的,相称的,均衡的"
1377,proposal,al 表形容词， ...的,"n.提议,建议"
1378,proposition,ition 表名词， 行为过程，状态,"n.主张,建议,陈述,命题"
1379,prose,ose 表形容词， 多...的,n.散文
1380,prospective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.预期的
1381,prosperity,ty 表名词，用在形容词后，把形容词变成名词,n.繁荣
1382,protection,ion 表名词， 动作或状态 分为 sion和tion两种,n.保护
1383,protective,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive","adj.给予保护的,保护的"
1384,provision,ion 表名词， 动作或状态 分为 sion和tion两种,"n.供应,(一批)供应品,预备,防备,规定"
1385,provocative,"ive 表形容词，根据不同的单词结尾可分sive, ative, ive, itive",adj.煽动的;n.刺激物
1386,proximity,ity 表名词，指具备某种性质,"n.接近,亲近"
1387,psychiatrist,ist 表名词， 表示信仰者，专家或从事人,"n.精神病医师,精神病学家"
1388,psychological,al 表名词， 人，物，状态,adj.心理(上)的
1389,publication,on 表名词，指人、物和一些物理学上的名词,"n.出版物,出版,发行,公布,发表"
1390,publicity,ty 表名词，用在形容词后，把形容词变成名词,n.公开
1391,pudding,ing 表形容词， 正...的 ， 令人...的,"n.布丁(一种以面粉,牛奶,鸡蛋等为基料的糊壮甜食)"
1392,pumpkin,kin 表名词， 小...,n.南瓜
1393,punctual,al 表名词， 人，物，状态,"adj.严守时刻的,准时的"
1394,purify,"fy 表动词, ...化，成为... ，更多时候作 ify",vt.使纯净;v.净化
1395,purity,ty 表名词，用在形容词后，把形容词变成名词,"n.纯净,纯洁,纯度"
1396,pursuit,it 表名词，通常是抽象名词,n.追击
1397,qualification,fication 表名词，由fic变化而来,"n.资格,条件,限制,限定,赋予资格"
1398,qualify,"fy 表动词, ...化，成为... ，更多时候作 ify","v.(使)具有资格,证明合格,限制修饰;vt.限制,限定"
1399,quantify,"fy 表动词, ...化，成为... ，更多时候作 ify",vt.确定数量;v.量化
1400,quarterly,ly 表形容词，通常加在名词后。,"n.季刊;adj.一年四次的,每季的;adv.每季地"
1401,queer,eer 表名词， ... 人员,"n.同性恋者;adj.奇怪的,可疑的，不舒服的;vt.搞糟;"
1402,questionnaire,aire 表名词， ...人,"n.调查表,问卷"
1403,quit,it 表名词，通常是抽象名词,"vi.离开,辞职,停止;vt.离开,放弃,解除,停止"
1404,quiver,er 表动词， 反复做,"n.震动,颤抖,箭袋,箭袋中的箭;vi.颤抖,振动,射中;vt.使颤动;adj.敏捷的"
1405,quotation,ation 表名词， 行为，过程，结果,"n.引用语,价格,报价单,行情表"
1406,racial,ial 表形容词， 有...的,"adj.人种的,种族的,种族间的"
1407,racket,et 表示 小,"n.球拍,喧闹纷乱;v.过着花天酒地的生活"
1408,radiant,ant 表形容词， ...的,"adj.发光的,辐射的,容光焕发的"
1409,radiate,ate 表动词， 做，造成,"vt.放射,辐射,传播,广播;vi.发光,辐射,流露;adj.有射线的,辐射状的"
1410,radiation,on 表名词，指人、物和一些物理学上的名词,"n.发散,发光,发热,辐射,放射,放射线,放射物"
1411,radical,al 表形容词， ...的,"adj.根本的,基本的,激进的;n.激进分子"
1412,rage,"age 名词后缀,表示 状态，总称","n.愤怒,情绪激动,狂暴,精神错乱;vi.大怒,狂吹,风行"
1413,raid,id 表形容词， 如...的,"n.袭击,搜捕;v.奇袭,搜捕"
1414,railroad,ad 表名词， ...东西，状态,n.铁路;vt.<美>由铁道运输
1415,railway,y 表名词，加在形容词或以r结尾的单词后。,"n.[英]铁道,铁路"
1416,rally,ally 表副词，由al+ly 构成， ...地,"v.重整旗鼓,给予新力量,(使)恢复健康,力量,决心,集结;n.集会"
1417,random,dom 表名词， 状态或领域,"n.随意,任意;adj.任意的,随便的,胡乱的;adv.胡乱地"
1418,rarely,ly 表形容词，通常加在名词后。,"adv.很少地,罕有地"
1419,rate,ate 表形容词， 具有...的,"n.比率,速度,等级,价格,费用;vt.估价,认为,鉴定等级,责骂;vi.被评价,责骂"
1420,rating,ing 表形容词， 正...的 ， 令人...的,"n.等级级别(尤指军阶),额定,责骂,申斥"
1421,ratio,o 表名词，用于音乐术语,"n.比,比率,[财政]复本位制中金银的法定比价"
1422,reaction,ion 表名词， 动作或状态 分为 sion和tion两种,"n.反应,反作用,反动(力)"
1423,readily,ly 表形容词，通常加在名词后。,"adv.乐意地,欣然,容易地"
1424,reality,ality 表名词， 状态，性质,"n.真实,事实,本体,逼真"
1425,rear,ar 表形容词， ...的,"n.后面,背后,后方,屁股;adj.后面的,背面的,后方的;vt.培养,饲养,举起,树立,栽种;vi.高耸,暴跳,用后腿站起"
1426,rebel,el 表名词， 人或物,"n.造反者,叛逆者,反抗者,叛乱者;adj.造反的,叛逆的,反抗的;v.造反,反叛,反抗,叛乱"
1427,receiver,er 表动词， 反复做,"n.接受者,接收器,收信机"
1428,recently,ly 表形容词，通常加在名词后。,adv.最近
1429,recession,ion 表名词， 动作或状态 分为 sion和tion两种,"n.撤回,退回,退后,工商业之衰退,不景气"
1430,recipient,ent 表形容词， ...的,"adj.容易接受的,感受性强的;n.容纳者,容器"
1431,reciprocal,al 表名词， 人，物，状态,"adj.互惠的,相应的,倒数的,彼此相反的;n.倒数,互相起作用的事物"
